Project Name,Package Name,Type Name,Code Smell
..,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos.wrapper,WeblogEntryWrapper,Insufficient Modularization
..,org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos.wrapper,WeblogWrapper,Insufficient Modularization
..,org.apache.roller.weblogger.ui.core,CmaRollerContext,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core,CmaRollerContext,Broken Hierarchy
..,org.apache.roller.weblogger.ui.core,RollerContext,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.ui.core,RollerLoginSessionManager,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.ui.core,SingletonHolder,Unnecessary Abstraction
..,org.apache.roller.weblogger.ui.core,SingletonHolder,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.ui.core,SessionCacheHandler,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core,RollerSession,Deficient Encapsulation
..,org.apache.roller.weblogger.ui.core,RollerSession,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.ui.core,RollerLoginSessionManagerTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core,RollerSessionTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,BootstrapFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,CharEncodingFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,CustomOpenIDAuthenticationProcessingFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,DebugFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,IPBanFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,PersistenceSessionFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,RoleAssignmentFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,RoleAssignmentRequestWrapper,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,SpringFirewallExceptionFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,InitFilterTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,LoadSaltFilterTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,TestUser,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,ValidateSaltFilterTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.filters,TestUser,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.plugins,Summernote,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.plugins,TextEditor,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.security,AuthoritiesPopulator,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.security,BasicUserAutoProvision,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.security,CustomUserRegistry,Imperative Abstraction
..,org.apache.roller.weblogger.ui.core.security,RollerRememberMeAuthenticationProvider,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.security,RollerRememberMeServices,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.security,RollerUserDetailsService,Imperative Abstraction
..,org.apache.roller.weblogger.ui.core.security,RollerUserDetailsService,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.core.tags.calendar,BigWeblogCalendarModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.filters,DeviceResolverRequestFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.filters,RequestMappingFilter,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.mobile,MobileDeviceRepository,Deficient Encapsulation
..,org.apache.roller.weblogger.ui.rendering.model,CalendarModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,ConfigModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,ConfigModel,Insufficient Modularization
..,org.apache.roller.weblogger.ui.rendering.model,FeedModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,FeedEntriesPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,FeedCommentsPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,FeedFilesPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,MenuModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,MessageModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,Model,Wide Hierarchy
..,org.apache.roller.weblogger.ui.rendering.model,PageModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,PlanetModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,PlanetModel,Deficient Encapsulation
..,org.apache.roller.weblogger.ui.rendering.model,PreviewPageModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,PreviewURLModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,SearchResultsModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,SearchResultsModel,Deficient Encapsulation
..,org.apache.roller.weblogger.ui.rendering.model,SiteModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,SiteModel,Insufficient Modularization
..,org.apache.roller.weblogger.ui.rendering.model,URLModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,URLModel,Insufficient Modularization
..,org.apache.roller.weblogger.ui.rendering.model,FeedURLS,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,EntryFeedURLS,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,CommentFeedURLS,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,MediaFileFeedURLS,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,UtilitiesModel,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,UtilitiesModel,Insufficient Modularization
..,org.apache.roller.weblogger.ui.rendering.model,SearchResultsFeedModelTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,SearchResultsFeedModelTest,Deficient Encapsulation
..,org.apache.roller.weblogger.ui.rendering.model,SearchResultsModelTest,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.model,SearchResultsModelTest,Deficient Encapsulation
..,org.apache.roller.weblogger.ui.rendering,RendererFactory,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering,RenderingException,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering,RequestMapper,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering,WeblogRequestMapper,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.pagers,AbstractPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.pagers,AbstractWeblogEntriesPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.pagers,CommentsPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.pagers,MediaFilesPager,Unutilized Abstraction
..,org.apache.roller.weblogger.ui.rendering.pagers,Pager,Unutilized Abstraction
